code,value
002801.SZ,11.56
002802.SZ,4.79
002803.SZ,40.98
002805.SZ,4.52
002806.SZ,34.91
002807.SZ,38.21
002808.SZ,8.48
002809.SZ,17.21
002810.SZ,11.05
002811.SZ,61.83
002812.SZ,52.45
002813.SZ,0.03
002815.SZ,12.8
002816.SZ,10.32
002817.SZ,0.16
002818.SZ,11.87
002819.SZ,101.79
002820.SZ,61.57
002821.SZ,67.74
002822.SZ,5
002823.SZ,8.89
002824.SZ,0.14
002825.SZ,11.51
002826.SZ,20.51
002827.SZ,74.02
002828.SZ,0.01
002829.SZ,4.78
002830.SZ,0.72
002831.SZ,32.05
002832.SZ,22.6
002833.SZ,25.3
002835.SZ,2.41
002836.SZ,71.01
002837.SZ,44.12
002838.SZ,16.71
002839.SZ,5.46
002840.SZ,48.39
002841.SZ,57.96
002842.SZ,5.58
002843.SZ,40.28
002845.SZ,18.32
002846.SZ,2.81
002847.SZ,33.76
002848.SZ,0.9
002849.SZ,7.43
002850.SZ,44.29
002851.SZ,32.39
002852.SZ,20.24
002853.SZ,13.01
002855.SZ,12.06
002856.SZ,0
002857.SZ,29.2
002858.SZ,11.09
002859.SZ,29.41
002860.SZ,4.03
002861.SZ,9.54
002863.SZ,37.98
002864.SZ,37.35
002865.SZ,0.62
002866.SZ,11.54
002867.SZ,58.46
002868.SZ,22.01
002869.SZ,24.48
002870.SZ,0.95
002871.SZ,0
002872.SZ,9.05
002873.SZ,22.46
002875.SZ,0.01
002876.SZ,16.08
002877.SZ,0
002878.SZ,33.44
002879.SZ,7.71
002880.SZ,23.78
002881.SZ,2.58
002882.SZ,6.45
002883.SZ,21.19
002884.SZ,1.57
002885.SZ,2.06
002886.SZ,4.77
002887.SZ,16.17
002888.SZ,5.02
002889.SZ,0
002890.SZ,32.99
002891.SZ,51.49
002892.SZ,0
002893.SZ,20.31
002895.SZ,7.85
002896.SZ,27.39
002897.SZ,19.61
002898.SZ,26.97
002899.SZ,43.72
002900.SZ,24.45
002901.SZ,43.05
002902.SZ,21.39
002903.SZ,1.02
002905.SZ,12.52
002906.SZ,62.91
002907.SZ,1.93
002908.SZ,3.18
002909.SZ,30.1
002910.SZ,9.72
002911.SZ,80.22
002912.SZ,46.41
002913.SZ,21.97
002915.SZ,0
002916.SZ,42.07
002917.SZ,8.52
002918.SZ,28.44
002919.SZ,13.72
002920.SZ,52.6
002921.SZ,19.6
002922.SZ,2.97
002923.SZ,12.31
002925.SZ,46.62
002926.SZ,52.93
002927.SZ,24.55
002928.SZ,29.97
002929.SZ,15.55
002930.SZ,15.75
002931.SZ,12.59
002932.SZ,22.53
002933.SZ,30.67
002935.SZ,24.46
002936.SZ,21.82
002937.SZ,10.64
002938.SZ,52.74
002939.SZ,65.59
002940.SZ,11.32
002941.SZ,25.55
002942.SZ,11.83
002943.SZ,27.41
002945.SZ,5.15
002946.SZ,4.88
002947.SZ,15.21
002948.SZ,4.66
002949.SZ,0.01
002950.SZ,1.54
002951.SZ,0.29
002952.SZ,9.24
002953.SZ,0.42
002955.SZ,0.92
002956.SZ,4.94
002957.SZ,3.43
002958.SZ,2.62
002959.SZ,3.69
002960.SZ,0.01
002961.SZ,1.28
002962.SZ,0.08
002963.SZ,0.45
002965.SZ,0.6
002966.SZ,1.99
002967.SZ,21.4
002968.SZ,15.66
002969.SZ,0.54
002970.SZ,10.25
002972.SZ,6.57
002973.SZ,7.04
003003.SZ,0
003816.SZ,84.76
300001.SZ,57.47
300002.SZ,6.46
300003.SZ,60.68
300004.SZ,13.74
300005.SZ,14.11
300006.SZ,14.36
300007.SZ,0.98
300008.SZ,2.65
300009.SZ,22.78
300010.SZ,22.63
300011.SZ,17.13
300012.SZ,54.19
300013.SZ,32.64
300014.SZ,64.33
300015.SZ,72.56
300016.SZ,23.74
300017.SZ,10.1
300018.SZ,5.29
300019.SZ,29.35
300020.SZ,29.95
300021.SZ,8.2
300022.SZ,7.74
300023.SZ,25.91
300024.SZ,38.74
300025.SZ,16.84
300026.SZ,42.66
300027.SZ,23.61
300029.SZ,21.89
300030.SZ,12.99
300031.SZ,22.8
300032.SZ,28.22
300033.SZ,27.84
300034.SZ,57.02
300035.SZ,13.04
300036.SZ,38.65
300037.SZ,39.71
300038.SZ,32.17
300039.SZ,14.82
300040.SZ,6.23
300041.SZ,2.31
300042.SZ,40.07
300043.SZ,8.39
300044.SZ,9.95
300045.SZ,10.86
300046.SZ,34.39
300047.SZ,5.84
300048.SZ,21.97
300049.SZ,16.3
300050.SZ,0.14
300051.SZ,4.52
300052.SZ,40.93
300053.SZ,25.34
300054.SZ,23.8
300055.SZ,13.9
300056.SZ,17.73
300057.SZ,5.91
300058.SZ,17.48
300059.SZ,17.57
300061.SZ,58.76
300062.SZ,9.29
300063.SZ,16.3
300064.SZ,39.49
300065.SZ,16.75
300066.SZ,44
300067.SZ,2.39
300068.SZ,40.48
300069.SZ,28.59
300070.SZ,37.34
300071.SZ,5.36
300072.SZ,52.79
300073.SZ,52.21
300074.SZ,17.79
300075.SZ,3.1
300076.SZ,33.41
300077.SZ,0.42
300078.SZ,37.23
300079.SZ,3.17
300080.SZ,21.13
300081.SZ,17.92
300082.SZ,60.09
300083.SZ,19.15
300084.SZ,7.45
300085.SZ,6.33
300086.SZ,46.52
300087.SZ,39.23
300088.SZ,34.45
300089.SZ,1.95
300091.SZ,14.32
300092.SZ,2.41
300093.SZ,13.84
300094.SZ,57.24
300095.SZ,28.51
300096.SZ,21.86
300097.SZ,9.12
300098.SZ,16.15
300099.SZ,0.03
300100.SZ,55.12
300101.SZ,34.17
300102.SZ,38.9
300103.SZ,41.29
300105.SZ,46.95
300106.SZ,42.55
300107.SZ,1.22
300108.SZ,21.7
300109.SZ,14.41
300110.SZ,29.33
300111.SZ,3.13
300112.SZ,3.77
300113.SZ,41.41
300114.SZ,67.09
300115.SZ,62.2
300116.SZ,27.22
300117.SZ,42.3
300118.SZ,30.72
300119.SZ,17.82
300120.SZ,30.15
300121.SZ,16.24
300122.SZ,21.65
300123.SZ,38.51
300124.SZ,55.28
300125.SZ,22.36
300126.SZ,5.93
300127.SZ,46.77
300128.SZ,9.3
300129.SZ,21.99
300130.SZ,23.81
300131.SZ,8.16
300132.SZ,15.41
300133.SZ,51.74
300134.SZ,58.94
300135.SZ,0.03
300136.SZ,28.07
300137.SZ,3.2
300138.SZ,3.93
300139.SZ,2.03
300140.SZ,61.89
300141.SZ,0.73
300142.SZ,32.56
300143.SZ,45.75
300144.SZ,68.19
300145.SZ,28.52
300146.SZ,21.1
300147.SZ,47.42
300148.SZ,23.89
300149.SZ,51.78
300150.SZ,14.95
300151.SZ,1.24
300152.SZ,29.82
300153.SZ,51.38
300154.SZ,39.17
300155.SZ,0.74
300157.SZ,10.84
300158.SZ,49.34
300159.SZ,18.34
300160.SZ,48.99
300161.SZ,38.78
300162.SZ,20.45
300163.SZ,0.13
300164.SZ,15.8
300165.SZ,1.36
300166.SZ,28.47
300167.SZ,37.58
300168.SZ,48.48
300169.SZ,10.71
300170.SZ,12.25
300171.SZ,0.22
300172.SZ,0.99
300173.SZ,43.68
300174.SZ,18.04
300175.SZ,14.64
300176.SZ,32.25
300177.SZ,2.04
300178.SZ,45.79
300179.SZ,5.58
300180.SZ,26.14
300181.SZ,10.76
300182.SZ,27.92
300183.SZ,6.81
300184.SZ,8.12
300185.SZ,13.16
300187.SZ,64.66
300188.SZ,51.63
300189.SZ,24.48
300190.SZ,61.64
300191.SZ,2.37
300192.SZ,5.12
300193.SZ,25.41
300194.SZ,19.94
300195.SZ,12.02
300196.SZ,30.38
300197.SZ,27.14
300198.SZ,8.07
300199.SZ,17.17
300200.SZ,41.01
300201.SZ,41.85
300202.SZ,36.07
300203.SZ,53.26
300204.SZ,65.36
300205.SZ,48.11
300206.SZ,6.83
300207.SZ,39.52
300208.SZ,42.38
300209.SZ,28.43
300210.SZ,1.95
300211.SZ,1.68
300212.SZ,49.13
300213.SZ,14.34
300214.SZ,31.41
300215.SZ,37.58
300217.SZ,0.57
300218.SZ,62.25
300219.SZ,40.68
300220.SZ,9.14
300221.SZ,30.5
300222.SZ,20.13
300223.SZ,14.65
300224.SZ,66.94
300225.SZ,39.97
300226.SZ,48.5
300227.SZ,3.97
300228.SZ,5.62
300229.SZ,50.51
300230.SZ,10.48
300231.SZ,4.08
300232.SZ,28.4
300233.SZ,61.45
300234.SZ,6.75
300235.SZ,11.38
300236.SZ,47.07
300237.SZ,40.99
300238.SZ,37.14
300239.SZ,43.32
300240.SZ,54.46
300241.SZ,17.02
300242.SZ,32.9
300243.SZ,17.97
300244.SZ,31.48
300245.SZ,15.13
300246.SZ,4.08
300247.SZ,18.51
300248.SZ,13.38
300249.SZ,8.39
300250.SZ,7.32
300251.SZ,71.67
300252.SZ,20.98
300253.SZ,35.67
300254.SZ,1.8
300255.SZ,23.17
300256.SZ,29.29
300257.SZ,68.78
300258.SZ,65.17
300259.SZ,5.53
300260.SZ,4.59
300261.SZ,44
300262.SZ,17.07
300263.SZ,20.18
300264.SZ,2.23
300265.SZ,56.48
300266.SZ,36.27
300267.SZ,16.5
300268.SZ,4.7
300269.SZ,2.32
300270.SZ,11.79
300271.SZ,36.65
300272.SZ,20.48
300273.SZ,3.72
300274.SZ,36.8
300275.SZ,11.33
300276.SZ,18.86
300277.SZ,31.13
300278.SZ,11.2
300279.SZ,14.22
300280.SZ,27.46
300281.SZ,38.05
300282.SZ,30.49
300283.SZ,3.02
300284.SZ,15.79
300285.SZ,50.84
300286.SZ,26.68
300287.SZ,1.3
300288.SZ,7.55
300289.SZ,43.42
300290.SZ,31.52
300291.SZ,41.3
300292.SZ,3.82
300293.SZ,63.27
300294.SZ,58.95
300295.SZ,6.65
300296.SZ,23.44
300297.SZ,27.78
300298.SZ,31.63
300299.SZ,26.64
300300.SZ,33.24
300301.SZ,30.37
300302.SZ,11.93
300303.SZ,11.68
300304.SZ,46.91
300305.SZ,37.86
300306.SZ,10.74
300307.SZ,59.38
300308.SZ,64.51
300309.SZ,2.87
300310.SZ,8.99
300311.SZ,10.63
300312.SZ,0.1
300313.SZ,48.39
300314.SZ,0.84
300315.SZ,29.62
300316.SZ,66.09
300317.SZ,60.97
300318.SZ,1.4
300319.SZ,39.38
300320.SZ,10.27
300321.SZ,49.15
300322.SZ,23.57
300323.SZ,47.63
300324.SZ,22.06
300325.SZ,34.47
300326.SZ,47.88
300327.SZ,48.44
300328.SZ,52.39
300329.SZ,46.03
300330.SZ,30.42
300331.SZ,13.96
300332.SZ,30.96
300333.SZ,22.91
300334.SZ,49.31
300335.SZ,5.26
300336.SZ,25.55
300337.SZ,28.92
300338.SZ,17.89
300339.SZ,33.54
300340.SZ,7.24
300341.SZ,68.95
300342.SZ,50.68
300343.SZ,1.44
300344.SZ,4.72
300345.SZ,24.45
300346.SZ,21.32
300347.SZ,53.05
300348.SZ,15
300349.SZ,39.27
300350.SZ,20.62
300351.SZ,17.38
300352.SZ,8.15
300353.SZ,4.08
300354.SZ,4.21
300355.SZ,14.51
300356.SZ,32.5
300357.SZ,71.42
300358.SZ,63.84
300359.SZ,33.43
300360.SZ,44.24
300362.SZ,24.99
300363.SZ,44.86
300364.SZ,14.5
300365.SZ,26.1
300366.SZ,15.42
300367.SZ,17.2
300368.SZ,46.9
300369.SZ,63.74
300370.SZ,2.61
300371.SZ,2.94
300373.SZ,44.63
300374.SZ,34.4
300375.SZ,3.51
300376.SZ,75.18
300377.SZ,3.62
300378.SZ,41.45
300379.SZ,11.19
300380.SZ,37.35
300381.SZ,39.58
300382.SZ,69.79
300383.SZ,56.02
300384.SZ,11.68
300385.SZ,42.32
300386.SZ,3.35
300387.SZ,54.21
300388.SZ,63.42
300389.SZ,5.01
300390.SZ,1.36
300391.SZ,59.87
300392.SZ,43.38
300393.SZ,21.64
300394.SZ,66.56
300395.SZ,27.55
300396.SZ,66.22
300397.SZ,16.28
300398.SZ,66.91
300399.SZ,38.64
300400.SZ,2.05
300401.SZ,42.81
300402.SZ,69.05
300403.SZ,28.41
300404.SZ,7.71
300405.SZ,17.91
300406.SZ,18.98
300407.SZ,20.2
300408.SZ,60.05
300409.SZ,12.48
300410.SZ,49.4
300411.SZ,4.55
300412.SZ,39.09
300413.SZ,77.44
300414.SZ,61.32
300415.SZ,20.22
300416.SZ,50.8
300417.SZ,5.7
300418.SZ,18.53
300419.SZ,0.13
300420.SZ,3.85
300421.SZ,3.49
300422.SZ,12.58
300423.SZ,28.95
300424.SZ,11.63
300425.SZ,47.92
300426.SZ,21.01
300427.SZ,6.15
300428.SZ,10.03
300429.SZ,4.37
300430.SZ,33.82
300431.SZ,0.01
300432.SZ,40.55
300433.SZ,80.54
300434.SZ,7.16
300435.SZ,21.66
300436.SZ,40.3
300437.SZ,3.72
300438.SZ,16.74
300439.SZ,28.35
300440.SZ,56.41
300441.SZ,10.39
300442.SZ,32.78
300443.SZ,17.62
300444.SZ,2.41
300445.SZ,4.67
300446.SZ,33.58
300447.SZ,7.28
300448.SZ,11.87
300449.SZ,12.02
300450.SZ,76.44
300451.SZ,46.02
300452.SZ,20.15
300453.SZ,13.86
300454.SZ,63.7
300455.SZ,53.81
300456.SZ,20.35
300457.SZ,46.63
300458.SZ,6.51
300459.SZ,42.45
300460.SZ,51.56
300461.SZ,21.13
300462.SZ,0.1
300463.SZ,25.52
300464.SZ,52.26
300465.SZ,36.78
300466.SZ,39.5
300467.SZ,4.51
300468.SZ,43.43
300469.SZ,42.05
300470.SZ,47.59
300471.SZ,16.46
300472.SZ,15.8
300473.SZ,56.81
300474.SZ,18.32
300475.SZ,55.08
300476.SZ,70.51
300477.SZ,9.33
300478.SZ,60.82
300479.SZ,42.51
300480.SZ,20.12
300481.SZ,55.77
300482.SZ,59.66
300483.SZ,31.26
300484.SZ,14.69
300485.SZ,2
300486.SZ,9.46
300487.SZ,17.95
300488.SZ,11.58
300489.SZ,15.75
300490.SZ,61.61
300491.SZ,1.31
300492.SZ,53.7
300493.SZ,49.29
300494.SZ,19.63
300495.SZ,5.31
300496.SZ,39.85
300497.SZ,26.76
300498.SZ,14.14
300499.SZ,17.84
300500.SZ,53.06
300501.SZ,12.38
300502.SZ,20.11
300503.SZ,15.42
300504.SZ,28.1
300505.SZ,3.64
300506.SZ,34.33
300507.SZ,0.01
300508.SZ,2.71
300509.SZ,13.15
300510.SZ,39.46
300511.SZ,19.96
300512.SZ,55.95
300513.SZ,9.6
300514.SZ,0.04
300515.SZ,45.98
300516.SZ,76.78
300517.SZ,0.6
300518.SZ,8.38
300519.SZ,41.48
300520.SZ,50.08
300521.SZ,51.72
300522.SZ,21.28
300523.SZ,66.96
300525.SZ,14.28
300526.SZ,62.91
300527.SZ,71.54
300528.SZ,37.8
300529.SZ,34.31
300530.SZ,52.98
300531.SZ,64.93
300532.SZ,8.57
300533.SZ,3.18
300534.SZ,42.74
300535.SZ,14.18
300536.SZ,2.06
300537.SZ,8.42
300538.SZ,0.33
300539.SZ,0.64
300540.SZ,34.68
300541.SZ,8.7
300542.SZ,2.42
300543.SZ,6.36
300545.SZ,2.19
300546.SZ,13.42
300547.SZ,9.6
300548.SZ,41.03
300549.SZ,53.68
300550.SZ,71.18
300551.SZ,5.01
300552.SZ,17.88
300553.SZ,21.81
300554.SZ,14.08
300555.SZ,20.37
300556.SZ,7.4
300557.SZ,52.16
300558.SZ,68.75
300559.SZ,37.75
300560.SZ,14.79
300561.SZ,6.88
300562.SZ,17.8
300563.SZ,16.25
300564.SZ,0.05
300565.SZ,14.54
300566.SZ,39.69
300567.SZ,24.12
300568.SZ,31.31
300569.SZ,16.02
300570.SZ,39.49
300571.SZ,43.44
300572.SZ,51.54
300573.SZ,44.66
300575.SZ,19.14
300576.SZ,4.15
300577.SZ,31.66
300578.SZ,2.29
300579.SZ,66.3
300580.SZ,12.62
300581.SZ,65.65
300582.SZ,33.26
300583.SZ,1.42
300584.SZ,11.82
300585.SZ,13.76
300586.SZ,1.21
300587.SZ,8.64
300588.SZ,6.97
300589.SZ,0
300590.SZ,57.03
300592.SZ,15.93
300593.SZ,27.13
300594.SZ,0
300595.SZ,61.82
300596.SZ,59.85
300597.SZ,3.26
300598.SZ,33.91
300599.SZ,0.71
300600.SZ,18.19
300601.SZ,42.42
300602.SZ,5.97
300603.SZ,7.48
300604.SZ,38.83
300605.SZ,20.96
300607.SZ,19.9
300608.SZ,24
300609.SZ,54.4
300610.SZ,17.48
300611.SZ,17.15
300612.SZ,8.07
300613.SZ,6.07
300615.SZ,1.19
300616.SZ,41.75
300617.SZ,4.95
300618.SZ,58.22
300619.SZ,0.01
300620.SZ,1.17
300621.SZ,6.02
300622.SZ,19.4
300623.SZ,22.94
300624.SZ,30.99
300625.SZ,9.89
300626.SZ,21.19
300627.SZ,31.8
300628.SZ,56.81
300629.SZ,11.19
300630.SZ,62.76
300631.SZ,17.71
300632.SZ,6.06
300633.SZ,38.58
300634.SZ,63.01
300635.SZ,3.63
300636.SZ,45.6
300637.SZ,27.67
300638.SZ,25.48
300639.SZ,35.87
300640.SZ,4.25
300641.SZ,36.47
300642.SZ,44.59
300643.SZ,6.23
300644.SZ,36.01
300645.SZ,30.41
300647.SZ,1.72
300648.SZ,2.48
300649.SZ,0.02
300650.SZ,15.12
300651.SZ,7.85
300652.SZ,1.3
300653.SZ,33.95
300654.SZ,10.08
300655.SZ,15.34
300656.SZ,14.38
300657.SZ,43.79
300658.SZ,2.48
300659.SZ,42.84
300660.SZ,4.79
300661.SZ,56.79
300662.SZ,62.81
300663.SZ,23.74
300664.SZ,12.65
300665.SZ,9.16
300666.SZ,10.76
300667.SZ,4.29
300668.SZ,17.33
300669.SZ,15.24
300670.SZ,33.19
300671.SZ,13.47
300672.SZ,26.4
300673.SZ,17.74
300674.SZ,69.44
300675.SZ,39.16
300676.SZ,48.79
300677.SZ,45.3
300678.SZ,47.03
300679.SZ,29.1
300680.SZ,7.48
300681.SZ,14.63
300682.SZ,53.58
300683.SZ,7.5
300684.SZ,40.08
300685.SZ,55.39
300686.SZ,5.05
300687.SZ,32.15
300688.SZ,27.44
300689.SZ,14.4
300690.SZ,29.95
300691.SZ,11.75
300692.SZ,35.99
300693.SZ,7.3
300694.SZ,31.27
300695.SZ,0.85
300696.SZ,27.72
300697.SZ,3.45
300698.SZ,0
300699.SZ,52.09
300700.SZ,18.18
300701.SZ,8.29
300702.SZ,23.86
300703.SZ,17.91
300705.SZ,23.03
300706.SZ,4.56
300707.SZ,31.55
300708.SZ,4.5
300709.SZ,29.35
300710.SZ,16.4
300711.SZ,9.7
300712.SZ,25.38
300713.SZ,14.17
300715.SZ,4.33
300716.SZ,47.61
300717.SZ,20.43
300718.SZ,3.58
300719.SZ,5.36
300720.SZ,0.08
300721.SZ,7.55
300722.SZ,5.64
300723.SZ,29.88
300724.SZ,61.73
300725.SZ,40.05
300726.SZ,30.7
300727.SZ,0
300730.SZ,11.92
300731.SZ,49.57
300732.SZ,24.59
300733.SZ,5.69
300735.SZ,12.32
300736.SZ,1.79
300737.SZ,35.94
300738.SZ,15.99
300739.SZ,1.45
300740.SZ,37.5
300741.SZ,51.36
300742.SZ,31.06
300743.SZ,17.56
300745.SZ,12.88
300746.SZ,4.14
300747.SZ,45.02
300748.SZ,59.89
300749.SZ,0.38
300750.SZ,59.86
300751.SZ,59.84
300752.SZ,0.06
300753.SZ,23.08
300755.SZ,19.16
300756.SZ,0.98
300757.SZ,9.83
300758.SZ,0.01
300759.SZ,55.31
300760.SZ,64.52
300761.SZ,16.32
300762.SZ,0.64
300763.SZ,0.5
300765.SZ,0.34
300766.SZ,12.35
300767.SZ,19.99
300768.SZ,4.57
300769.SZ,32.27
300770.SZ,47.4
300771.SZ,0.08
300772.SZ,25.25
300773.SZ,18.21
300775.SZ,3.2
300776.SZ,5.64
300777.SZ,0.02
300778.SZ,0
300779.SZ,0.55
300780.SZ,1.16
300781.SZ,0.44
300782.SZ,39.49
300783.SZ,33.04
300785.SZ,40.47
300786.SZ,0
300787.SZ,0.04
300788.SZ,48.85
300790.SZ,1.51
300791.SZ,1.01
300792.SZ,53.9
300793.SZ,0.67
300795.SZ,0.42
300796.SZ,0.04
300797.SZ,1.46
300798.SZ,1.01
300799.SZ,0
300800.SZ,0.39
300801.SZ,0.13
300802.SZ,0.44
300803.SZ,1.39
300805.SZ,0.11
300806.SZ,6.56
300807.SZ,0.78
300808.SZ,0.45
300809.SZ,0.71
300810.SZ,0.2
300811.SZ,0.36
300812.SZ,0.37
600000.SH,77.62
600004.SH,75.33
600006.SH,65.3
600007.SH,86.03
600008.SH,63.89
600009.SH,67.03
600010.SH,52.68
600011.SH,82.09
600012.SH,82.71
600015.SH,74.87
600016.SH,54.59
600017.SH,58.14
600018.SH,90.4
600019.SH,82.27
600020.SH,62.48
600021.SH,78.99
600022.SH,54.79
600023.SH,85.08
600025.SH,85.7
600026.SH,70.78
600027.SH,76.67
600028.SH,94.42
600029.SH,77.98
600030.SH,44.69
600031.SH,60.46
600033.SH,55.75
600035.SH,59.66
600036.SH,66.03
600037.SH,56.81
600038.SH,75.08
600039.SH,58.41
600048.SH,69.86
600050.SH,72.8
600051.SH,31.5
600052.SH,45.02
600053.SH,75.87
600054.SH,62.55
600055.SH,40.23
600056.SH,61.77
600057.SH,69.78
600058.SH,69.13
600059.SH,52.2
600060.SH,66.13
600061.SH,78.4
600062.SH,69.99
600063.SH,41.29
600064.SH,45.98
600066.SH,69.12
600067.SH,50.78
600068.SH,56.01
600070.SH,35.52
600071.SH,46.62
600072.SH,45.31
600073.SH,47.15
600075.SH,61.42
600076.SH,23.01
600077.SH,43.65
600078.SH,42.58
600079.SH,53.89
600080.SH,26.67
600081.SH,65.44
600082.SH,30.54
600083.SH,40.03
600084.SH,49.12
600085.SH,79.74
600086.SH,39.81
600088.SH,61.95
600089.SH,40.85
600090.SH,58.48
600091.SH,41.3
600093.SH,71.8
600094.SH,26.66
600095.SH,16.6
600096.SH,67.22
600097.SH,61.27
600098.SH,86.04
600099.SH,42.28
600100.SH,49.68
600101.SH,38.06
600103.SH,32.75
600104.SH,88.84
600105.SH,45.29
600106.SH,31.36
600107.SH,21.2
600108.SH,27.93
600109.SH,45.03
600110.SH,12.74
600111.SH,53.23
600112.SH,18.34
600113.SH,49.29
600114.SH,40.79
600115.SH,78.79
600116.SH,61.9
600117.SH,65.61
600118.SH,59.82
600119.SH,39.22
600120.SH,55.65
600121.SH,64.85
600122.SH,39.08
600123.SH,46.25
600125.SH,35.69
600126.SH,85.13
600127.SH,26.39
600128.SH,28.44
600129.SH,50.48
600130.SH,18.08
600131.SH,49.74
600132.SH,87.27
600133.SH,34.41
600135.SH,34.98
600136.SH,43.71
600137.SH,65.44
600138.SH,45.04
600139.SH,34.14
600141.SH,44.47
600143.SH,17.6
600145.SH,67.39
600146.SH,49.17
600148.SH,54.79
600149.SH,35.3
600150.SH,65.8
600151.SH,41.3
600152.SH,37.29
600153.SH,66.36
600155.SH,52.85
600156.SH,40.55
600157.SH,58.37
600158.SH,11.84
600159.SH,48.66
600160.SH,61.09
600161.SH,71.76
600162.SH,65.35
600163.SH,58.74
600165.SH,33.25
600166.SH,43.92
600167.SH,86.73
600168.SH,65.43
600169.SH,40.28
600170.SH,67.31
600171.SH,36.03
600172.SH,29.05
600173.SH,55.04
600176.SH,64.49
600177.SH,59.21
600178.SH,51.74
600179.SH,51.35
600180.SH,74.07
600182.SH,0.56
600183.SH,67.85
600184.SH,75.3
600185.SH,74.53
600186.SH,44.91
600187.SH,21.19
600188.SH,83.04
600189.SH,50.01
600190.SH,77.56
600191.SH,55.09
600192.SH,39.02
600193.SH,35.39
600195.SH,59.82
600196.SH,63.5
600197.SH,56.21
600198.SH,36.68
600199.SH,37.88
600200.SH,21.74
600201.SH,39.98
600202.SH,34.5
600203.SH,40.42
600206.SH,40.68
600207.SH,67.44
600208.SH,51.13
600209.SH,29.29
600210.SH,28.32
600211.SH,59.77
600212.SH,1.56
600213.SH,51.3
600215.SH,29.62
600216.SH,58.64
600217.SH,59.25
600218.SH,34.55
600219.SH,47.76
600220.SH,15.07
600221.SH,53.31
600222.SH,31.06
600223.SH,63.18
600225.SH,52.3
600226.SH,7.83
600227.SH,24.68
600228.SH,25.58
600229.SH,62.75
600230.SH,49.86
600231.SH,74.27
600232.SH,51.02
600233.SH,78.82
600234.SH,22.35
600235.SH,35.56
600236.SH,93.04
600237.SH,16.84
600238.SH,46.97
600239.SH,44.86
600241.SH,51.14
600242.SH,44.48
600243.SH,56.91
600246.SH,72.68
600247.SH,7.67
600248.SH,56.82
600249.SH,40.23
600250.SH,46.55
600251.SH,56.48
600252.SH,44.81
600255.SH,12.63
600256.SH,58.15
600257.SH,28.1
600258.SH,75.06
600259.SH,53.42
600260.SH,26
600261.SH,53.89
600262.SH,59.53
600265.SH,69.65
600266.SH,49.05
600267.SH,46.64
600268.SH,52.03
600269.SH,53.93
600271.SH,61.6
600272.SH,44.94
600273.SH,53.16
600275.SH,31.16
600276.SH,78.03
600277.SH,63.09
600278.SH,68.35
600279.SH,42
600280.SH,17.43
600281.SH,44.22
600282.SH,58.31
600283.SH,70.03
600284.SH,38.46
600285.SH,46.92
600287.SH,50.73
600288.SH,1.56
600289.SH,29.5
600290.SH,37.45
600291.SH,61.29
600292.SH,54.02
600293.SH,41.72
600295.SH,72.28
600297.SH,75.41
600298.SH,75.82
600299.SH,90.93
600300.SH,43.38
600301.SH,33.9
600302.SH,42.77
600303.SH,29.69
600305.SH,55.1
600306.SH,30.07
600307.SH,57.24
600308.SH,38.52
600309.SH,38.53
600310.SH,52.32
600311.SH,16.76
600312.SH,57
600313.SH,43.34
600315.SH,69.35
600316.SH,50.87
600317.SH,83.75
600318.SH,44.91
600319.SH,37.91
600320.SH,59.09
600321.SH,48.46
600322.SH,38.9
600323.SH,63.67
600325.SH,43.75
600326.SH,28.98
600327.SH,49.13
600328.SH,33.65
600329.SH,62.18
600330.SH,20.43
600331.SH,52.33
600332.SH,72.45
600333.SH,52.79
600335.SH,72.95
600336.SH,49.39
600337.SH,55.89
600338.SH,74.06
600339.SH,40.81
600340.SH,76.33
600343.SH,44.62
600345.SH,47.53
600346.SH,76.52
600348.SH,63.27
600350.SH,89.8
600351.SH,36.24
600352.SH,8.88
600353.SH,46.52
600354.SH,33.11
600355.SH,5.59
600356.SH,44.23
600358.SH,46.93
600359.SH,40.98
600360.SH,25.18
600361.SH,58.28
600362.SH,71.75
600363.SH,25.19
600365.SH,17.3
600366.SH,38.4
600367.SH,36.82
600368.SH,51.31
600369.SH,61.85
600370.SH,54.72
600371.SH,49.04
600372.SH,83.09
600373.SH,73.2
600375.SH,20.76
600376.SH,76.12
600377.SH,92.41
